trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-85.08975373212124,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-36.01358641283259,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,15,-56.5886775921044,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-69.44998346523406,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-83.07302604146163,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-214.71115457294235,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-187.06867114539605,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-74.35360548788074,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-125.47290643251863,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-132.6496516624751,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-152.82324277580653,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-88.0613048684584,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-174.84824394763754,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-230.08955656049406,"{0: 16, 1: 6, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-80.22448265647907,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-93.45939745010261,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-154.60982320738466,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-145.30586216645068,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-108.22140668945823,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,5,33.556306433620136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,8,2.9355257515977797,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,11.08283696675645,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,-26.907783371536176,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,23,11.930252665805314,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,14.042022728589142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,19.693827550737687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,7,-1.7589660397010884,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,6,-17.810245085845242,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,13,14.279733494722617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,9,17.26604150827355,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
