trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0000000000000003e-40}",20,0,-169.59816158333902,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
2,False,"{'a': 0.01, 'e': 1.0000000000000004e-39}",25,0,-59.678701444872296,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 1.0000000000000004e-38}",25,7,14.20997649455657,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 1.0000000000000005e-37}",30,0,-97.90079404458761,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 1.0000000000000004e-36}",20,0,-54.761547451890465,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 1.0000000000000004e-35}",20,0,-74.35150664009889,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 1.0000000000000004e-34}",20,8,16.206313135954158,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 1.0000000000000004e-33}",20,0,-86.47530911373534,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 1.0000000000000003e-32}",20,6,-8.304918709833867,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 1.0000000000000003e-31}",25,8,11.808870761638262,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 1.0000000000000003e-30}",20,0,-36.2547528004351,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 1.0000000000000004e-29}",30,20,-27.55453549185695,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.01, 'e': 1.0000000000000003e-28}",25,0,-10.82744585766844,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 1.0000000000000002e-27}",20,0,15.427761464093464,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 1.0000000000000003e-26}",25,0,-9.774575729349959,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 1.0000000000000003e-25}",20,14,6.993029043557272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 1.0000000000000003e-24}",30,0,-5.021310463433894,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 1.0000000000000003e-23}",30,11,-1.2834914932377113,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 1.0000000000000003e-22}",20,0,16.320599184696032,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 1.0000000000000003e-21}",25,8,25.90264120326976,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,31.262130206139222,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,4,-19.01417180563704,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,24.566370558513817,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,4,20.10645240356476,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,23.88926812687191,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,5,-21.117734076900778,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,0,21.610672509590984,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,18.71835211391877,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,29.424524540756746,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-12.839567546781957,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
