trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-202.00906085102935,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-187.88070516382004,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-115.49742049875027,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-176.34338643732494,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-54.237186834225746,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-186.5432759426921,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-104.39143291889337,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-180.87566148698238,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-82.6639587421792,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-67.1541027194646,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,-100.62420471361459,"{0: 4, 1: 1, 2: 6, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-185.95835906149702,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-183.06191057312373,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-121.8742205347482,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-118.90989782626134,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-113.93750061882831,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-100.72950068021665,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-169.9912307334341,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-114.13216971284422,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-169.36253862139552,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-166.93814452671265,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-257.31951721996063,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,0,-117.47630598051826,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-94.83161033579626,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-60.694676846567575,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-115.45089221720345,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-92.0453903797014,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,0,-189.7662599899378,"{0: 13, 1: 11, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-33.93869618803555,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-4.422833055516746,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
